invoice_id,facility_id,invoice_amount,sla_status
INV-000001,18,14672.894030372876,On-Time
INV-000002,26,17333.08044742664,On-Time
INV-000003,44,14295.737156600238,On-Time
INV-000004,34,23275.452824099186,On-Time
INV-000005,10,20363.274651637443,On-Time
INV-000006,36,27743.824078193655,On-Time
INV-000007,14,56562.24753267456,On-Time
INV-000008,31,39855.810274377916,On-Time
INV-000009,48,57216.05618483217,On-Time
INV-000010,15,9435.795520757178,On-Time
INV-000011,8,13245.128532821169,On-Time
INV-000012,14,42344.6212083191,Delayed
INV-000013,23,43108.594796017314,On-Time
INV-000014,40,11174.3849782412,On-Time
INV-000015,21,40602.45963029357,On-Time
INV-000016,16,8573.813399176246,On-Time
INV-000017,45,35634.00737259975,On-Time
INV-000018,18,21454.802651568523,On-Time
INV-000019,47,5516.861430264989,On-Time
INV-000020,24,14270.1636460121,On-Time
INV-000021,26,195295.25286753493,On-Time
INV-000022,25,26978.090775062665,On-Time
INV-000023,45,219794.8689973891,On-Time
INV-000024,41,5198.230042182715,On-Time
INV-000025,29,46664.631098953454,On-Time
INV-000026,15,1747.0148461718538,On-Time
INV-000027,45,22021.279505056504,On-Time
INV-000028,1,41407.503098316796,On-Time
INV-000029,25,50913.841207669684,On-Time
INV-000030,7,9904.359328542832,On-Time
INV-000031,9,62260.99479705299,On-Time
INV-000032,24,12916.815129644685,On-Time
INV-000033,1,18692.969113119372,On-Time
INV-000034,44,14280.893166958162,On-Time
INV-000035,8,7069.963875058036,On-Time
INV-000036,24,105843.78793659537,Delayed
INV-000037,11,23109.933302086054,On-Time
INV-000038,17,65337.3010892647,On-Time
INV-000039,8,62611.93799890387,On-Time
INV-000040,35,8367.076218959826,On-Time
INV-000041,35,74319.39609179963,On-Time
INV-000042,33,36439.7045520703,On-Time
INV-000043,5,7778.339290071208,On-Time
INV-000044,42,34504.70019725356,On-Time
INV-000045,39,7919.094243958306,On-Time
INV-000046,41,109804.67317877809,On-Time
INV-000047,28,49701.31869951192,On-Time
INV-000048,7,20513.765709746065,On-Time
INV-000049,9,78026.4864745362,On-Time
INV-000050,8,4527.894659177429,On-Time
INV-000051,12,10411.421460440188,On-Time
INV-000052,34,17112.770527882618,On-Time
INV-000053,33,206010.96642457155,On-Time
INV-000054,48,7551.617812778174,On-Time
INV-000055,23,3994.581346173345,On-Time
INV-000056,24,5195.844681989018,On-Time
INV-000057,37,54514.165766888094,On-Time
INV-000058,35,12158.79103922448,On-Time
INV-000059,44,18786.866901416586,On-Time
INV-000060,40,47232.27081557207,Delayed
INV-000061,22,18805.701460976095,On-Time
INV-000062,27,27014.97455809245,On-Time
INV-000063,35,37617.142672186754,On-Time
INV-000064,1,14318.727975459498,On-Time
INV-000065,35,18651.520316682778,On-Time
INV-000066,37,28055.932960296068,On-Time
INV-000067,47,52479.57226010507,On-Time
INV-000068,14,9972.940315937143,On-Time
INV-000069,3,1074.2994762764322,On-Time
INV-000070,1,43459.43048543089,On-Time
INV-000071,5,55698.913461491,On-Time
INV-000072,26,26904.105160141124,On-Time
INV-000073,14,28804.681902093886,On-Time
INV-000074,39,12527.60772476076,On-Time
INV-000075,27,36322.16433041561,On-Time
INV-000076,9,51697.6094052744,On-Time
INV-000077,15,23306.70441783783,On-Time
INV-000078,15,265999.133438164,On-Time
INV-000079,26,4611.271504235171,On-Time
INV-000080,42,25924.964683916263,On-Time
INV-000081,13,6806.593390790512,On-Time
INV-000082,32,53095.418555850054,On-Time
INV-000083,39,4530.21451634675,On-Time
INV-000084,49,5802.699140190489,On-Time
INV-000085,32,11693.788231940795,On-Time
INV-000086,4,28733.879325634956,On-Time
INV-000087,30,12143.248451777155,Delayed
INV-000088,37,12265.659638125244,On-Time
INV-000089,23,18381.67539799306,On-Time
INV-000090,39,17287.860706853797,On-Time
INV-000091,45,97484.57002599999,On-Time
INV-000092,15,43735.31243586561,On-Time
INV-000093,43,15921.46153609042,On-Time
INV-000094,29,179335.19136860434,On-Time
INV-000095,36,36013.933162635905,On-Time
INV-000096,13,8358.530763881681,On-Time
INV-000097,32,28467.368346858835,On-Time
INV-000098,7,37628.33157087308,Delayed
INV-000099,22,11074.221300107425,On-Time
INV-000100,28,7688.57768682798,On-Time
INV-000101,2,24015.604607894333,On-Time
INV-000102,42,15363.936074034586,On-Time
INV-000103,45,96676.71812142833,On-Time
INV-000104,6,46219.44260201848,On-Time
INV-000105,28,11605.387697088558,On-Time
INV-000106,28,33723.09222641654,On-Time
INV-000107,44,78208.071922732,On-Time
INV-000108,44,5465.4161946684035,On-Time
INV-000109,20,7920.596194132653,On-Time
INV-000110,30,21781.829296982836,On-Time
INV-000111,11,22824.777741317695,On-Time
INV-000112,28,20906.230311057046,On-Time
INV-000113,25,16142.693658080247,On-Time
INV-000114,39,15897.858244762407,On-Time
INV-000115,33,32346.404073345922,On-Time
INV-000116,1,68455.73107395825,On-Time
INV-000117,27,13616.632062560351,On-Time
INV-000118,13,252306.36069979952,On-Time
INV-000119,41,156481.24409475297,On-Time
INV-000120,3,83221.05249358638,On-Time
INV-000121,39,41047.422948799416,On-Time
INV-000122,6,164060.10055460577,On-Time
INV-000123,8,16479.700586451832,On-Time
INV-000124,27,9579.642835947865,On-Time
INV-000125,9,13017.214341373116,On-Time
INV-000126,37,8079.273199479811,On-Time
INV-000127,33,24879.546577582852,On-Time
