attendance_id,employee_id,status,leave_type
1,2613,WFH,Earned
2,4559,Present,Unpaid
3,3238,Present,Sick
4,3375,Present,Unpaid
5,3400,Present,Sick
6,3335,Present,Casual
7,1175,Present,Sick
8,4686,Present,Sick
9,4638,Present,None
10,1382,Present,Sick
11,366,Present,Sick
12,1590,Present,Sick
13,4092,Leave,None
14,1969,Present,Unpaid
15,3747,Present,Casual
16,3506,Present,Earned
17,1878,Leave,Earned
18,4602,Present,Sick
19,896,Present,None
20,4410,Absent,Unpaid
21,2465,Present,None
22,2112,Present,None
23,2202,WFH,Sick
24,967,WFH,Earned
25,2175,Present,None
26,772,Present,None
27,4171,Present,Sick
28,2794,Present,None
29,3796,Present,Casual
30,2312,WFH,Casual
31,3330,WFH,Sick
32,812,Present,Unpaid
33,1614,Present,Casual
34,3578,Present,Unpaid
35,3742,Present,None
36,3307,Present,None
37,4416,Present,Earned
38,1714,WFH,Unpaid
39,524,Present,Sick
40,3620,Leave,None
41,4452,Present,Sick
42,1410,Present,None
43,3127,Present,None
44,2803,WFH,Sick
45,847,Present,Earned
46,4451,Absent,Casual
47,4939,Leave,Earned
48,2300,Present,Casual
49,3303,Present,Unpaid
50,211,WFH,Casual
51,2091,Present,Earned
52,1932,Present,Casual
53,1553,Present,Sick
54,1798,Leave,Unpaid
55,1782,Present,Sick
56,338,Present,Casual
57,2858,Present,Earned
58,521,Present,Casual
59,237,Present,Casual
60,4617,WFH,Casual
61,4110,Absent,Unpaid
62,2402,Present,Sick
63,4216,Present,Earned
64,4748,Leave,Earned
65,2252,Leave,None
66,4351,Present,Earned
67,202,Present,Sick
68,3455,Present,Casual
69,370,Present,Sick
70,3926,Present,Sick
71,3453,Present,Casual
72,3629,Present,None
73,117,Present,Unpaid
74,467,Present,Casual
75,3415,Present,None
76,4110,Present,Earned
77,1364,Present,Earned
78,4287,Present,Sick
79,1861,Leave,Unpaid
80,776,Present,Unpaid
81,2630,Present,Unpaid
82,4214,WFH,Casual
83,747,Present,Sick
84,3181,Present,Sick
85,2902,Present,None
86,1327,Leave,Earned
87,1842,Present,Unpaid
88,4006,Absent,Sick
89,1527,Present,None
90,3065,Present,Unpaid
91,362,Present,Casual
92,1134,Leave,Earned
93,3354,Present,Earned
94,1750,Present,Unpaid
95,1365,Present,Earned
96,1950,Present,Unpaid
97,4335,Present,Casual
98,1215,Present,Earned
99,1792,Present,None
100,2917,Leave,Earned
101,1533,Present,Earned
102,4915,Present,None
103,3529,Absent,Casual
104,3294,Present,Casual
105,4235,Present,Casual
106,835,Present,Unpaid
107,1482,Present,Casual
108,2958,Leave,None
109,3511,Present,Unpaid
110,1208,Present,Sick
111,1925,Present,Sick
112,1921,Present,Casual
113,1111,WFH,Casual
114,4122,Absent,Sick
115,4347,Leave,Casual
116,47,Present,Casual
117,2406,Present,Unpaid
118,2806,Present,Casual
119,3850,Present,Sick
120,4336,Present,Sick
121,2985,Present,Sick
122,1000,Present,None
123,2346,Leave,Earned
124,418,Present,Unpaid
125,1614,WFH,Unpaid
126,3800,Present,Sick
127,3421,Present,Earned
128,615,Present,Casual
129,2116,Present,Casual
130,4333,Present,Casual
131,1459,Present,Earned
132,98,Present,Unpaid
133,3383,Present,Sick
134,158,Leave,None
135,843,Present,Unpaid
136,2897,Present,Casual
137,4414,Present,Casual
138,1477,WFH,Sick
139,3323,Present,None
140,739,Present,Unpaid
141,2922,Present,None
142,4106,Present,Unpaid
143,3043,Present,Sick
144,2932,Present,Earned
145,123,Absent,Earned
146,4123,Present,None
147,4374,Present,Unpaid
148,642,Leave,Earned
149,3063,Present,Unpaid
150,4036,Present,Earned
151,3667,Leave,Unpaid
152,4429,Present,None
153,4412,Leave,Sick
154,303,Present,None
155,3222,Present,Unpaid
156,3164,Present,Casual
157,2883,Present,None
158,970,Present,None
159,314,Present,Unpaid
160,3359,Present,Earned
161,2124,Leave,Casual
162,3843,Present,Sick
163,4985,Present,Sick
164,947,Present,None
165,3588,Present,Sick
166,1432,Present,None
167,490,Present,Casual
168,3948,Present,Sick
169,1919,WFH,Casual
170,572,Present,Unpaid
171,4016,Absent,Casual
172,3633,Present,None
173,2347,Present,Earned
174,1626,Leave,Earned
175,4678,Present,Unpaid
176,1558,Present,None
177,1382,Present,Unpaid
178,4215,Present,Unpaid
179,4573,Present,Earned
180,1691,Present,None
181,2008,Present,Unpaid
182,1345,Present,None
183,4920,Leave,Unpaid
184,3731,Present,None
185,1669,Present,Casual
186,4408,Present,Casual
187,257,Present,Unpaid
188,4500,Present,Unpaid
189,1621,Present,None
190,953,Leave,Earned
191,2428,Present,Sick
192,4898,Leave,Casual
193,3909,Present,Casual
194,1202,Present,None
195,2665,Present,Unpaid
196,712,Present,Sick
197,2991,Present,Earned
198,4233,Present,Earned
199,4714,Present,Earned
200,4757,Leave,Unpaid
201,190,Present,Sick
202,1616,Present,Unpaid
203,2589,Present,Earned
204,4213,Present,Sick
205,823,Present,Unpaid
206,418,Leave,None
207,4153,Present,Sick
208,3445,Leave,Earned
209,1416,WFH,Unpaid
210,4786,Present,Casual
211,685,Present,Earned
212,3590,Present,Sick
213,2290,Present,Unpaid
214,1464,Present,Sick
215,1707,Present,Casual
216,2104,Present,Sick
217,1253,Present,Unpaid
218,4960,Present,Earned
219,2646,Leave,Casual
220,2370,Leave,Sick
221,4689,Leave,Earned
222,1425,Present,Sick
223,466,Present,Sick
224,4122,Present,None
225,3654,Present,Earned
226,4031,Present,Earned
227,160,Present,None
228,807,Leave,None
229,242,Present,Sick
230,4658,Present,Unpaid
231,2298,Leave,Unpaid
232,1743,Present,Earned
233,3392,Leave,Earned
234,3451,Present,Unpaid
235,766,Present,Casual
236,3461,Present,None
237,4879,Leave,Sick
238,493,Leave,Earned
239,875,Present,None
240,1119,Leave,Unpaid
241,372,Present,Earned
242,4595,Present,Sick
243,2665,Present,Unpaid
244,510,Present,Earned
245,1943,Present,Unpaid
246,1798,Present,Unpaid
247,4746,Leave,None
248,4783,Present,None
249,2098,Leave,Sick
250,278,Present,None
251,3481,Present,Unpaid
252,1987,Present,Sick
253,1238,Present,Casual
254,3395,Present,Sick
255,1864,Present,Earned
256,2495,Present,None
257,2199,Present,Sick
258,2731,Present,Casual
259,659,Leave,Sick
260,625,Present,Earned
261,3000,Leave,Earned
262,4721,Present,Casual
263,824,Absent,None
264,3780,Present,Casual
265,4493,Present,None
266,4353,Present,Unpaid
267,566,Present,Casual
268,1159,Present,Unpaid
269,1138,Present,Casual
270,1017,Present,Casual
271,4102,Leave,Earned
272,99,Present,Unpaid
273,2146,Present,Casual
274,2484,Present,None
275,3410,Absent,Unpaid
276,1252,Present,Casual
277,4764,Present,Sick
278,1898,Leave,None
279,2797,Leave,Sick
280,4804,Present,Sick
281,2990,Present,Casual
282,4333,Leave,Earned
283,4293,Present,Sick
284,607,Present,Sick
285,2642,Present,Sick
286,555,Present,Earned
287,3369,Leave,Earned
288,3762,Present,Casual
289,800,Present,Unpaid
290,4986,Present,None
291,2190,Present,Sick
292,2738,Present,Earned
293,2730,Present,Casual
294,1880,Leave,Earned
295,4673,WFH,Unpaid
296,4930,Present,Unpaid
297,4755,Leave,Sick
298,3561,Present,Unpaid
299,2833,Present,Sick
300,945,WFH,None
301,1851,Present,Casual
302,1515,Present,None
303,1046,Present,Earned
304,703,Leave,Casual
305,1665,Present,Unpaid
306,2771,Present,Unpaid
307,3907,Present,Sick
308,2881,Absent,Casual
309,3357,Absent,Sick
310,603,Present,Unpaid
311,3646,Present,Earned
312,2382,Present,Unpaid
313,3003,Present,None
314,1274,Leave,Sick
315,3729,Leave,Unpaid
316,4814,Present,Casual
317,1745,Leave,Unpaid
318,4537,Present,Sick
319,2429,Present,Unpaid
320,1944,Present,Casual
321,3099,Present,None
322,4967,Present,Casual
323,2025,Present,Earned
324,767,Leave,Sick
325,2662,Present,Earned
326,164,Present,None
327,3636,Present,Sick
328,934,Present,Unpaid
329,711,Present,Casual
330,3444,Present,Earned
331,3095,Present,Casual
332,2785,WFH,Unpaid
333,1175,Present,Sick
334,1973,Leave,Casual
335,1811,Present,Unpaid
336,163,Absent,Casual
337,4042,WFH,Unpaid
338,932,Present,None
339,1053,Leave,Unpaid
340,4406,Leave,Unpaid
341,3270,Present,Sick
342,1763,Leave,None
343,4470,Present,Sick
344,819,Present,Casual
345,4073,Present,Casual
346,191,Leave,Earned
347,1872,Present,Unpaid
348,4531,Present,None
349,1812,Present,Unpaid
350,4317,Present,Casual
351,3674,Present,None
352,1409,Present,Sick
353,4794,Present,Earned
354,3700,Present,Sick
355,2064,WFH,Earned
356,2632,Absent,Earned
357,1609,Present,Sick
358,1053,Present,Casual
359,2134,Present,Casual
360,3229,Leave,None
361,3261,Leave,Casual
362,4007,Leave,Sick
363,1750,Present,Casual
364,2854,Present,Sick
365,1042,Present,Sick
366,1953,Absent,Sick
367,1844,Leave,Earned
368,1231,Present,None
369,834,Present,Casual
370,972,Present,None
371,2685,WFH,None
372,3459,Present,Sick
373,4664,Present,None
374,3715,Present,Earned
375,452,Present,None
376,3656,Present,Earned
377,3541,Present,Sick
378,1231,Present,Earned
379,3405,Present,Earned
380,1907,Absent,None
381,2145,Present,Casual
382,313,Present,Casual
383,4734,Leave,Casual
384,2450,Present,None
385,1621,Present,Unpaid
386,2827,Present,Sick
387,2794,Leave,Unpaid
388,249,Present,Earned
389,4884,Leave,Earned
390,184,Leave,None
391,1515,Present,None
392,2793,Present,Earned
393,184,Present,None
394,975,Present,None
395,1845,Present,Casual
396,755,Present,Unpaid
397,2245,Leave,Unpaid
398,4092,Present,Earned
399,1183,Present,Unpaid
400,707,Present,Sick
401,3933,Absent,Unpaid
402,3587,Leave,Unpaid
403,4390,Present,Earned
404,1125,Present,Earned
405,281,Present,Sick
406,4472,Present,Earned
407,397,Present,Casual
408,1935,Present,None
409,2961,Present,Earned
410,2216,Present,Sick
411,917,Leave,Unpaid
412,4328,Present,Unpaid
413,176,Absent,Unpaid
414,77,Present,Unpaid
415,1971,Present,Sick
416,2053,Leave,Earned
417,891,Present,Casual
418,2787,Present,Casual
419,1857,Present,Sick
420,2050,Present,Sick
421,7,Present,Casual
422,883,Present,Unpaid
423,608,Present,Unpaid
424,4414,Present,Earned
425,2628,Present,Casual
426,3268,Present,Unpaid
427,1328,Leave,Unpaid
428,2171,Leave,Sick
429,4194,WFH,Sick
430,834,Present,None
431,2510,Present,Unpaid
432,1374,Present,Unpaid
433,4205,Present,Casual
434,1490,Present,None
435,179,Present,Sick
436,1020,Present,Sick
437,153,Present,Unpaid
438,4515,Present,Unpaid
439,57,Present,None
440,2003,Present,Casual
441,3335,Leave,Sick
442,84,WFH,Casual
443,3589,Present,Unpaid
444,2401,Leave,None
445,1147,Present,None
446,1854,Present,Sick
447,3676,Present,Earned
448,1731,WFH,Unpaid
449,4335,Present,None
450,903,Present,Unpaid
451,17,Present,Sick
452,108,Present,Casual
453,2115,Present,Sick
454,3206,Present,Unpaid
455,3423,Leave,Unpaid
456,3549,Leave,None
457,1905,WFH,Earned
458,179,Present,Sick
459,1055,Present,None
460,3285,Present,Sick
461,1194,Leave,Earned
462,1519,Present,Sick
463,2875,Present,Sick
464,1744,Present,Earned
465,617,Leave,None
466,888,Present,Sick
467,3066,Present,Sick
468,2217,Present,Unpaid
469,219,Leave,Casual
470,1946,Present,Earned
471,3930,Present,Sick
472,1944,Present,None
473,3964,Absent,None
474,4342,Present,Sick
475,4523,Present,Casual
476,1190,Present,Unpaid
477,2472,Leave,Sick
478,3417,Absent,Unpaid
479,1022,Present,Earned
480,4129,Present,Sick
481,1284,Present,Earned
482,1425,Present,Earned
483,2981,Present,Earned
484,4629,WFH,Unpaid
485,1938,Leave,Unpaid
486,1655,Present,None
487,993,Leave,None
488,1160,Leave,None
489,1385,Leave,Earned
490,4997,Present,None
491,1235,WFH,Earned
492,1265,WFH,Sick
493,2252,Present,Sick
494,692,Present,Unpaid
495,4683,Present,Unpaid
496,2689,Present,Sick
497,2324,Present,Casual
498,4316,Present,Sick
499,649,Present,Earned
500,185,Present,Earned
501,2872,WFH,Unpaid
502,404,Present,Unpaid
503,2981,Present,Earned
504,457,Present,None
505,4230,Present,Casual
506,2376,Leave,Casual
507,4803,Present,Earned
508,2394,WFH,Sick
509,457,Present,Earned
510,4279,Present,Earned
511,852,Present,Earned
512,2030,Absent,None
513,1543,Present,Casual
514,3540,Present,None
515,2627,Present,Casual
516,2248,Leave,Casual
517,1739,Leave,Unpaid
518,4736,Present,Earned
519,3348,Present,None
520,353,Present,None
521,3596,Present,Unpaid
522,1189,Present,Sick
523,4193,Present,Unpaid
524,1303,Present,Earned
525,4156,Present,Earned
526,258,Present,Sick
527,1161,Present,Sick
528,3398,Present,Sick
529,1275,Present,None
530,4361,Present,Casual
531,3280,Leave,None
532,1553,Present,Sick
533,2374,Leave,Casual
534,2748,Present,Sick
535,3583,Present,Earned
536,1698,Present,Unpaid
537,1404,Present,Sick
538,1129,Present,Unpaid
539,440,WFH,Earned
540,1024,Present,Sick
541,2402,Present,None
542,1988,Present,Casual
543,3622,Present,Sick
544,1389,Leave,Sick
545,2235,Present,Casual
546,1960,Present,Earned
547,165,WFH,Earned
548,4432,Present,None
549,2837,Present,Earned
550,4480,Present,None
551,4645,Leave,None
552,349,Present,Sick
553,3643,Absent,Earned
554,3923,Leave,None
555,4142,Present,Sick
556,4463,Present,Unpaid
557,3840,Leave,Unpaid
558,1668,Present,Unpaid
559,1480,Present,Casual
560,811,Present,Unpaid
561,662,Present,Unpaid
562,580,Leave,Earned
563,2552,Present,None
564,3989,Present,Unpaid
565,4016,Present,Casual
566,1071,Present,Sick
567,4102,Leave,Sick
568,1940,Present,None
569,218,Leave,None
570,2576,Present,Casual
571,2889,Present,Earned
572,1819,Present,Casual
573,4137,Present,None
574,3888,Present,Sick
575,1430,Present,Earned
576,1098,Present,None
577,3738,Present,None
578,84,Absent,Earned
579,3841,Leave,Unpaid
580,4163,Present,None
581,4179,Absent,Earned
582,3186,Present,Casual
583,2124,Present,Casual
584,409,Absent,Earned
585,3848,Present,Earned
586,3638,Present,Earned
587,1249,Leave,Earned
588,330,Leave,Casual
589,1445,Present,None
590,4920,Present,Casual
591,4537,Leave,Earned
592,3236,Leave,None
593,4687,Present,Earned
594,2356,Present,Sick
595,4476,Present,Unpaid
596,4322,Present,Unpaid
597,4018,Present,Earned
598,2222,Present,Earned
599,3304,Present,None
600,4658,WFH,Unpaid
601,3253,Absent,None
602,2345,Present,Sick
603,2130,Present,None
604,3030,Present,Sick
605,658,WFH,None
606,734,Present,Casual
607,2816,WFH,Sick
608,1398,Present,Unpaid
609,874,Leave,Sick
610,4505,Present,Unpaid
611,3079,Present,None
612,4430,Present,Casual
613,2969,Present,None
614,561,Present,Earned
615,355,Leave,Sick
616,2795,Present,Sick
617,4066,Leave,Casual
618,4479,Present,Unpaid
619,4442,Present,Unpaid
620,2894,Present,Earned
621,4122,Present,Unpaid
622,3775,Present,Unpaid
623,1462,Present,None
624,2864,Present,Sick
625,3195,Present,Sick
626,2564,Present,Unpaid
627,3276,Leave,Unpaid
628,201,Present,Unpaid
629,1661,Present,Earned
630,4859,Leave,Casual
631,1606,Present,Sick
632,2129,WFH,None
633,658,Leave,Unpaid
634,2566,Present,None
635,1574,Leave,Earned
636,1553,Present,Sick
637,4263,Leave,None
638,3410,Leave,Sick
639,625,Present,Earned
640,4960,Leave,Casual
641,3214,Present,Earned
642,1641,Absent,Sick
643,4971,Leave,Casual
644,1684,Present,Earned
645,4117,Present,Earned
646,1940,Present,Casual
647,3516,Leave,Casual
648,883,Present,Earned
649,3294,Present,Earned
650,1913,Present,Unpaid
651,3663,Present,Sick
652,4640,Leave,Sick
653,3363,Present,Sick
654,4806,Present,None
655,1315,Leave,Earned
656,2154,Leave,None
657,1671,Absent,None
658,1400,Present,Casual
659,4309,Absent,Sick
660,468,Present,Unpaid
661,1263,Leave,Earned
662,4019,Present,None
663,4299,Leave,None
664,1846,Present,Earned
665,2134,Present,None
666,2038,Present,Sick
667,4200,Absent,Casual
668,208,Absent,Earned
669,1672,Present,Unpaid
670,2429,Present,Casual
671,213,Present,Unpaid
672,324,Present,Sick
673,3970,Present,None
674,3255,WFH,None
675,1374,Leave,Unpaid
676,1117,Present,None
677,3281,Present,None
678,243,Present,None
679,3391,Present,Casual
680,140,Present,Casual
681,1860,Present,Unpaid
682,1121,Leave,Unpaid
683,3876,Present,Casual
684,109,Present,None
685,4506,Present,Sick
686,2844,Absent,Unpaid
687,2242,Present,Casual
688,3152,Leave,Earned
689,3251,Present,None
690,1491,Leave,Casual
691,1950,Present,None
692,4090,Leave,Earned
693,3935,Leave,Sick
694,1642,Present,Unpaid
695,4530,Present,Earned
696,2888,Present,Sick
697,3974,WFH,Unpaid
698,1666,Present,None
699,3492,Present,Casual
700,2102,Present,Casual
701,91,Present,Casual
702,1873,Present,Casual
703,1853,Present,Earned
704,1940,Present,Earned
705,751,Present,Sick
706,3229,Present,Unpaid
707,4575,Absent,Earned
708,3009,Present,Earned
709,4952,Present,None
710,2110,Leave,Sick
711,3769,Present,Unpaid
712,3300,Present,Sick
713,4968,Present,Earned
714,3926,Leave,Casual
715,2167,Absent,None
716,1372,WFH,Earned
717,1951,Leave,Casual
718,2021,Present,Earned
719,3257,Present,None
720,1411,Present,Casual
721,429,Present,Earned
722,1708,Present,Casual
723,4279,Present,Sick
724,3230,Present,Casual
725,4214,Present,Unpaid
726,4099,Present,Earned
727,699,Present,None
728,2126,Present,Earned
729,1134,Present,Earned
730,4208,Leave,Unpaid
731,328,Present,None
732,2021,Present,None
733,3400,Present,None
734,1727,Present,None
735,2684,Present,None
736,1387,Leave,None
737,4856,Present,Earned
738,821,Leave,Casual
739,4321,Present,None
740,4439,Present,Casual
741,1514,WFH,Casual
742,4841,Leave,Sick
743,19,Present,Earned
744,4249,Leave,Unpaid
745,984,Present,Earned
746,1885,Present,Casual
747,2330,Present,Casual
748,337,Present,None
749,255,Present,Sick
750,793,Present,Casual
751,349,Leave,Earned
752,4767,Present,Unpaid
753,2152,Present,Casual
754,2014,Present,Unpaid
755,279,Present,Casual
756,702,Present,Earned
757,3381,Leave,None
758,4173,Present,Sick
759,3945,Present,Casual
760,3195,Absent,Casual
761,536,Present,Unpaid
762,3918,Present,Earned
763,724,Present,Casual
764,4528,Present,Sick
765,1371,Present,Unpaid
766,4222,Leave,Casual
767,1208,Present,Unpaid
768,3207,Present,Casual
769,1184,Present,Casual
770,3259,Present,Casual
771,1782,Present,None
772,4037,Present,Unpaid
773,946,Present,Sick
774,3817,Present,None
775,3,Present,Earned
776,2590,WFH,None
777,4431,Present,None
778,4205,Present,Sick
779,4283,Present,Unpaid
780,4603,Present,Unpaid
781,2701,Present,Earned
782,4522,Present,Earned
783,4383,Leave,Earned
784,4478,Present,Sick
785,1374,Present,Unpaid
786,2113,Present,Earned
787,208,Leave,Sick
788,2462,Present,Earned
789,2238,Present,None
790,1146,Leave,Earned
791,4263,Present,Sick
792,4558,Present,Casual
793,2278,WFH,None
794,1790,Present,None
795,4831,Present,Earned
796,770,Present,None
797,4843,Present,Casual
798,2508,Present,Earned
799,4945,Present,Unpaid
800,2461,Absent,Casual
801,3519,Present,Casual
802,3578,Present,Earned
803,704,Present,Unpaid
804,3105,Present,Sick
805,49,Present,Earned
806,2228,WFH,Sick
807,765,Present,Sick
808,3693,Present,Unpaid
809,4687,Present,None
810,2937,WFH,None
811,3026,Present,Earned
812,3755,Present,Casual
813,4705,Absent,Sick
814,1779,Present,Casual
815,330,Present,Casual
816,1704,Leave,Sick
817,2292,Present,Casual
818,3627,Present,Unpaid
819,4891,Leave,Sick
820,1863,Present,Sick
821,902,Present,Casual
822,4885,Present,None
823,2026,WFH,Earned
824,435,Present,Unpaid
825,222,Present,Casual
826,2751,Present,None
827,1496,Present,Casual
828,848,Leave,Earned
829,2248,Leave,Earned
830,1821,Present,Sick
831,3819,WFH,Unpaid
832,320,Present,None
833,390,WFH,Unpaid
834,739,Present,Unpaid
835,4861,Present,Sick
836,2406,Present,Unpaid
837,1710,Absent,None
838,3935,Present,Unpaid
839,3831,Present,None
840,1430,Leave,Earned
841,2894,Present,Earned
842,884,Present,None
843,1691,Present,None
844,383,Present,Casual
845,2344,Present,Sick
846,4371,Present,None
847,4845,Present,Unpaid
848,4329,Present,Unpaid
849,4304,Leave,Unpaid
850,4036,Present,None
851,508,Present,Unpaid
852,3987,Present,Unpaid
853,6,Absent,Unpaid
854,4878,Leave,None
855,937,Present,None
856,566,WFH,Sick
857,2891,Present,None
858,1659,Present,None
859,2647,Present,Sick
860,2887,Present,Casual
861,4569,Present,Casual
862,1770,Present,None
863,4921,Present,Unpaid
864,316,Present,Sick
865,2143,Present,Sick
866,4411,Present,Unpaid
867,1830,Present,None
868,510,Leave,Casual
869,1120,Present,Casual
870,2455,Present,Sick
871,2234,Present,Earned
872,1890,Present,Casual
873,4834,Present,Earned
874,3241,Present,None
875,4834,Present,None
876,1919,Present,None
877,1675,Present,Earned
878,520,Leave,Casual
879,1496,Present,Sick
880,2515,Present,Earned
881,2867,Present,Sick
882,2629,Present,Earned
883,1014,Present,None
