employee_id,employee_name,department,facility_id,designation,status
1,Employee-1,Operations,12,L1,Active
2,Employee-2,Sales,47,L4,Active
3,Employee-3,Finance,40,L2,Active
4,Employee-4,Sales,36,L3,Active
5,Employee-5,Sales,15,Manager,Active
6,Employee-6,HR,28,Senior Manager,Active
7,Employee-7,Finance,49,Manager,Active
8,Employee-8,Finance,45,L2,Active
9,Employee-9,Finance,18,L1,Active
10,Employee-10,Sales,2,L3,Active
11,Employee-11,Operations,13,L2,Active
12,Employee-12,Finance,45,L4,Active
13,Employee-13,Support,15,L3,Active
14,Employee-14,Sales,20,Manager,Active
15,Employee-15,HR,29,L2,Active
16,Employee-16,Operations,42,Manager,Active
17,Employee-17,Support,29,Manager,Active
18,Employee-18,Support,3,Manager,Active
19,Employee-19,HR,19,L1,Active
20,Employee-20,Operations,3,Manager,Active
21,Employee-21,Sales,14,L4,Active
22,Employee-22,IT,40,L4,Active
23,Employee-23,Operations,4,L3,Active
24,Employee-24,HR,11,Senior Manager,Inactive
25,Employee-25,Support,31,Manager,Active
26,Employee-26,Sales,43,Manager,Active
27,Employee-27,Operations,32,L2,Active
28,Employee-28,IT,27,L1,Active
29,Employee-29,IT,30,Senior Manager,Active
30,Employee-30,Finance,43,L3,Active
31,Employee-31,Finance,2,Senior Manager,Active
32,Employee-32,HR,49,Manager,Active
33,Employee-33,Operations,9,L2,Active
34,Employee-34,Operations,28,L1,Active
35,Employee-35,Support,31,L3,Active
36,Employee-36,Support,34,Senior Manager,Active
37,Employee-37,Support,15,L3,Active
38,Employee-38,Finance,48,Manager,Active
39,Employee-39,Operations,25,L3,Active
40,Employee-40,Operations,36,L2,Active
41,Employee-41,IT,8,L3,Active
42,Employee-42,Finance,9,L4,Active
43,Employee-43,Sales,37,L2,Inactive
44,Employee-44,Finance,48,Senior Manager,Active
45,Employee-45,Sales,45,L1,Active
46,Employee-46,IT,39,L1,Active
47,Employee-47,HR,32,Manager,Active
48,Employee-48,Operations,17,Manager,Active
49,Employee-49,IT,35,L4,Active
50,Employee-50,Operations,37,Senior Manager,Active
51,Employee-51,Support,19,L1,Active
52,Employee-52,HR,44,L1,Inactive
53,Employee-53,HR,29,L1,Active
54,Employee-54,IT,7,L1,Active
55,Employee-55,HR,28,L3,Active
56,Employee-56,Sales,9,Senior Manager,Inactive
57,Employee-57,HR,28,L2,Active
58,Employee-58,Operations,6,L2,Active
59,Employee-59,Operations,29,L4,Active
60,Employee-60,Operations,17,L3,Active
61,Employee-61,Operations,16,L1,Active
62,Employee-62,Sales,23,L1,Active
63,Employee-63,Finance,31,Manager,Active
64,Employee-64,Support,3,Manager,Active
65,Employee-65,IT,21,L4,Active
66,Employee-66,Operations,26,L1,Inactive
67,Employee-67,HR,36,L4,Active
68,Employee-68,Operations,42,L3,Active
69,Employee-69,HR,37,L2,Active
70,Employee-70,Support,22,L1,Active
71,Employee-71,Support,42,Senior Manager,Active
72,Employee-72,Support,12,L3,Active
73,Employee-73,HR,42,L1,Active
74,Employee-74,Operations,13,Senior Manager,Active
75,Employee-75,Support,11,Manager,Active
76,Employee-76,Sales,16,L4,Active
77,Employee-77,HR,8,Manager,Active
78,Employee-78,HR,40,L2,Active
79,Employee-79,Operations,40,Manager,Active
80,Employee-80,HR,45,L1,Active
81,Employee-81,HR,2,Senior Manager,Active
82,Employee-82,Support,30,Manager,Active
83,Employee-83,Operations,30,L1,Active
84,Employee-84,Support,12,L2,Active
85,Employee-85,Support,10,Senior Manager,Active
86,Employee-86,Operations,44,Manager,Active
87,Employee-87,IT,11,L4,Active
88,Employee-88,Support,15,L4,Active
89,Employee-89,Sales,16,Senior Manager,Active
90,Employee-90,Sales,17,L4,Active
91,Employee-91,HR,26,Manager,Active
92,Employee-92,Sales,2,Manager,Inactive
93,Employee-93,HR,50,Senior Manager,Active
94,Employee-94,IT,12,Manager,Inactive
95,Employee-95,Operations,26,L1,Active
96,Employee-96,Operations,23,L2,Active
97,Employee-97,Operations,18,L4,Active
98,Employee-98,Sales,32,L1,Active
99,Employee-99,IT,49,Senior Manager,Active
100,Employee-100,Sales,38,L4,Active
101,Employee-101,Sales,47,L1,Active
