deployment_id,facility_id,department,sanctioned_positions,actual_headcount
1,26,Support,113,122
2,34,Support,128,63
3,23,Operations,127,69
4,15,Operations,145,27
5,36,Support,96,97
6,42,Sales,64,108
7,17,Operations,110,59
8,4,Sales,111,45
9,24,HR,101,84
10,30,Operations,112,113
11,27,Sales,28,130
12,21,Finance,30,120
13,18,Operations,37,51
14,13,Sales,134,136
15,19,Sales,36,137
16,2,Support,17,101
17,3,Finance,22,93
18,18,Finance,82,83
19,50,Support,104,87
20,49,Finance,73,11
21,24,Finance,40,144
22,26,IT,70,23
23,19,Sales,45,108
24,49,Sales,101,67
25,11,HR,112,60
26,17,IT,133,114
27,5,HR,136,113
28,16,IT,98,16
29,17,Finance,81,66
30,30,HR,43,144
31,3,Sales,104,9
32,24,Finance,68,72
33,6,HR,33,118
34,36,Operations,104,57
35,9,Finance,96,128
36,20,HR,110,62
37,43,Finance,102,123
38,7,HR,41,106
39,19,Finance,139,25
40,23,HR,83,33
41,19,Sales,106,40
42,27,Finance,70,15
43,43,Support,49,25
44,47,IT,138,148
45,17,Support,71,34
46,50,Operations,32,79
47,29,Finance,49,65
48,39,Sales,66,147
49,26,Support,69,126
50,36,HR,44,87
51,2,Sales,68,127
52,20,Operations,138,96
53,40,Support,107,100
54,48,IT,143,18
55,1,Finance,71,78
56,23,IT,70,76
57,35,IT,94,92
58,45,Finance,57,72
59,21,HR,18,27
60,48,Finance,61,72
61,3,Support,100,93
62,35,Finance,47,141
63,28,Operations,120,54
64,23,Sales,112,134
65,45,IT,104,109
66,43,Finance,109,89
67,39,Operations,70,21
68,10,Support,94,13
69,32,Operations,99,25
70,12,Support,58,104
71,35,Sales,117,18
72,27,Finance,121,130
73,31,Sales,74,34
74,8,HR,103,135
75,43,Finance,89,91
76,17,Support,44,129
77,32,Operations,91,63
78,27,Sales,126,86
79,9,Finance,98,19
80,32,HR,134,70
81,32,Operations,140,123
82,47,IT,72,114
83,45,IT,66,9
84,47,Operations,14,43
85,13,IT,12,85
86,18,Finance,78,132
87,40,Sales,120,109
88,42,Finance,59,72
89,6,Operations,73,79
90,49,HR,26,49
91,27,IT,49,88
92,33,Support,56,53
93,23,Finance,95,114
94,5,HR,99,34
95,2,Sales,91,75
96,8,Sales,28,68
97,36,Support,107,87
98,10,Operations,113,29
99,27,Operations,115,108
100,41,IT,97,89
101,34,HR,47,53
102,11,Operations,118,99
103,27,Finance,131,70
104,10,Operations,30,90
105,39,HR,26,95
106,17,Sales,102,80
107,11,IT,146,75
108,37,Sales,56,42
109,9,Finance,13,133
110,49,Finance,74,56
111,31,Sales,101,82
112,48,HR,26,27
113,47,Sales,26,55
114,44,HR,78,58
115,1,Finance,29,53
116,19,HR,58,25
117,30,IT,69,69
118,3,Finance,71,112
119,10,HR,34,115
120,43,IT,142,64
121,15,Finance,23,24
122,43,Support,132,97
123,20,IT,60,139
124,15,HR,82,95
125,35,Sales,51,31
126,1,Sales,149,89
127,40,Sales,57,61
128,29,Sales,141,65
129,46,IT,88,146
130,5,Support,13,79
131,36,Support,112,38
132,22,IT,56,64
133,22,Support,135,116
134,46,Support,127,107
135,36,Operations,21,142
136,44,Finance,26,88
137,39,Sales,127,143
138,12,Finance,82,77
139,32,HR,34,133
140,40,Support,109,57
141,35,HR,51,35
142,27,Operations,30,83
143,26,HR,71,94
144,13,Operations,22,105
145,34,IT,145,62
146,40,HR,92,92
147,35,Sales,40,140
148,49,HR,134,46
149,31,HR,61,22
150,18,Finance,90,75
151,41,Operations,124,44
152,6,IT,94,84
153,21,HR,50,107
154,13,Support,85,102
155,7,Sales,73,24
156,42,Support,72,42
157,35,HR,79,21
158,4,Support,113,125
159,31,IT,25,64
160,18,Support,59,21
161,42,Support,104,57
162,20,Sales,135,91
163,30,Sales,118,50
164,11,Support,25,96
165,30,Finance,21,39
166,36,IT,145,66
167,35,Finance,52,52
168,4,Finance,101,110
169,4,Sales,51,84
170,22,Support,119,129
171,46,Support,107,23
172,12,Operations,146,29
173,50,Sales,97,14
174,1,HR,92,60
175,39,IT,46,69
176,47,Finance,25,17
177,16,IT,85,106
178,41,Finance,73,116
179,25,Support,10,140
180,7,Support,53,140
181,9,IT,115,90
182,37,Sales,115,106
183,17,Support,98,148
184,38,Finance,145,46
185,34,Finance,39,119
186,22,Operations,80,137
187,16,Finance,59,69
188,42,Operations,33,120
189,41,Finance,39,94
190,9,Finance,88,106
191,42,Support,48,18
192,38,IT,95,74
193,21,Sales,16,119
194,16,IT,128,97
195,21,HR,109,32
196,15,HR,103,70
197,30,HR,121,91
198,22,IT,75,133
199,40,Finance,149,50
200,49,Support,144,65
201,30,Finance,53,132
202,48,Sales,138,30
203,30,Finance,107,148
204,15,HR,102,108
205,34,IT,79,38
206,42,Sales,12,87
207,33,IT,62,17
208,24,Operations,147,14
209,4,HR,79,24
210,30,IT,10,39
211,17,IT,60,109
212,10,Support,55,41
213,15,Support,121,96
214,14,Sales,113,41
215,34,Support,61,114
216,37,Sales,129,28
217,16,HR,52,129
218,50,HR,20,85
219,21,Support,18,119
220,1,HR,48,17
221,21,Operations,68,38
222,40,Sales,137,26
223,22,Support,50,9
224,20,Sales,131,85
225,49,Operations,38,34
226,2,Sales,11,107
227,40,Operations,126,59
228,8,Finance,37,33
229,12,HR,131,133
230,15,Operations,134,69
231,42,IT,125,117
232,18,Operations,106,53
233,7,Operations,84,109
234,42,Sales,19,100
235,16,Sales,53,9
236,23,Operations,71,83
237,1,Finance,51,138
238,6,Finance,44,71
239,1,Support,121,141
240,41,Finance,113,144
241,37,HR,88,19
242,16,IT,137,87
243,11,Finance,71,33
244,38,Operations,147,122
245,9,IT,122,122
246,5,Support,108,102
247,26,HR,71,141
248,3,Operations,26,122
249,26,HR,142,70
250,42,HR,97,145
251,41,HR,106,44
252,20,Support,149,74
253,44,Support,78,85
254,11,IT,75,83
255,12,Operations,128,34
256,40,Support,83,21
257,50,HR,32,141
258,31,HR,80,13
259,4,HR,14,111
260,41,HR,66,149
261,24,IT,137,15
262,23,Sales,66,97
263,37,Operations,55,11
264,25,HR,16,62
265,39,Sales,59,148
266,31,Operations,81,113
267,30,Sales,31,11
268,28,Operations,88,136
269,11,Finance,96,85
270,41,Sales,105,74
271,42,HR,56,61
272,41,HR,78,112
273,7,Support,125,41
274,43,Finance,114,106
275,29,Operations,47,43
276,25,Support,11,132
277,35,Finance,45,9
278,7,Support,130,107
279,37,Finance,92,115
280,28,HR,97,78
281,38,Support,85,37
282,33,HR,55,51
283,19,Finance,135,58
284,4,HR,73,92
285,14,IT,64,132
286,33,Sales,116,70
287,50,Finance,56,88
288,8,Sales,17,97
289,12,Operations,48,60
290,6,Finance,142,54
291,30,IT,30,73
292,24,Sales,130,40
293,41,IT,23,21
294,27,Sales,129,21
295,49,Finance,95,21
296,46,Finance,68,107
297,49,Operations,49,22
298,12,Operations,84,125
299,9,IT,17,105
300,35,IT,137,91
301,1,IT,115,16
302,15,Operations,66,72
303,22,Sales,50,97
304,41,Sales,130,120
305,29,IT,95,21
306,37,Sales,132,25
307,29,Support,98,24
308,25,IT,27,23
309,12,HR,115,90
310,43,Sales,110,114
311,45,Operations,144,37
312,10,HR,49,55
313,34,IT,98,16
314,16,IT,17,29
315,18,IT,119,116
316,42,HR,12,103
317,23,HR,40,147
318,10,Sales,23,10
319,23,Finance,22,91
320,1,HR,56,87
321,19,IT,90,87
322,3,Sales,77,22
323,43,Support,121,59
324,46,IT,149,53
325,14,HR,122,120
326,49,Sales,118,126
327,21,Sales,50,55
328,25,IT,24,19
329,1,Support,115,35
330,25,IT,51,123
331,38,Finance,47,40
332,39,Sales,51,26
333,29,Operations,38,9
334,50,Sales,60,54
335,48,Support,17,38
336,49,HR,18,52
337,9,Sales,32,24
338,17,IT,89,61
339,32,Finance,52,97
340,43,Support,92,59
341,32,Support,29,76
342,40,Operations,96,37
343,39,IT,85,47
344,2,Finance,148,57
345,13,Finance,69,100
346,32,Finance,14,25
347,48,IT,104,34
348,8,Operations,14,13
349,5,Operations,37,20
350,41,Support,48,43
351,43,Finance,129,113
352,19,Finance,140,109
353,16,IT,53,62
354,4,Support,97,86
355,21,HR,11,136
356,30,HR,88,68
357,40,Sales,81,106
358,27,Operations,127,126
359,36,Operations,41,31
360,8,Operations,49,140
361,36,Finance,105,122
362,13,Finance,119,49
363,50,Sales,110,63
364,25,Finance,28,138
365,26,HR,71,104
366,1,Operations,131,83
367,19,HR,107,121
368,9,IT,63,23
369,39,Support,31,56
370,9,HR,49,81
371,37,Operations,147,119
372,41,Support,49,99
373,20,IT,114,137
374,24,Finance,114,37
375,14,Sales,141,17
376,48,Support,101,86
377,45,Finance,94,101
378,37,Finance,102,96
379,18,Sales,23,137
380,25,Operations,54,43
381,30,Support,13,146
382,28,Support,36,93
383,32,HR,91,142
384,47,Support,88,129
385,48,Sales,89,48
386,9,Finance,115,8
387,31,Operations,136,75
388,11,Operations,124,130
389,26,Sales,129,110
390,20,Support,112,87
391,24,Finance,105,83
392,43,IT,33,25
393,24,Support,54,148
394,20,IT,130,124
395,45,HR,139,53
396,37,IT,27,9
397,16,Sales,92,37
398,49,Sales,122,139
399,18,Sales,81,103
400,17,Support,86,59
401,33,Sales,30,77
402,30,Finance,149,8
403,44,IT,35,83
404,21,Operations,87,117
405,4,IT,126,129
406,33,Sales,45,65
407,38,Finance,120,53
408,8,IT,114,134
409,26,Finance,22,74
410,50,Finance,89,8
411,24,Sales,28,129
412,46,Support,93,84
413,46,Support,38,11
414,20,Finance,81,70
415,10,Sales,80,27
416,13,Finance,52,23
417,27,Sales,148,100
418,46,Operations,73,56
419,39,IT,101,131
420,14,Support,95,31
421,19,Operations,140,142
422,5,IT,110,43
423,29,Finance,92,146
424,48,Finance,122,37
425,37,Support,86,68
426,38,Support,56,108
427,11,Operations,138,24
428,17,Finance,52,33
429,13,Sales,99,86
430,50,Finance,60,140
431,31,Operations,28,14
432,36,HR,93,126
433,11,IT,40,149
434,31,Operations,58,36
435,32,Finance,105,115
436,14,Sales,75,88
437,12,IT,113,56
438,39,Sales,46,80
439,23,Operations,130,90
440,48,Finance,142,47
441,45,Sales,12,73
442,35,IT,49,98
443,16,Sales,108,132
444,22,Finance,109,113
445,25,Sales,78,55
446,31,Operations,106,146
447,38,Support,17,92
448,27,Operations,32,117
449,1,Operations,134,13
450,25,Finance,116,13
451,25,Finance,134,78
452,4,IT,40,32
453,45,IT,75,73
454,9,HR,63,107
455,2,IT,124,94
456,18,Operations,58,129
457,40,Finance,86,127
458,34,Operations,131,63
459,31,Operations,84,59
460,14,HR,111,137
461,48,Finance,92,75
462,43,Finance,111,50
463,3,Operations,81,91
464,13,Support,14,91
465,14,HR,90,54
466,11,Support,107,33
467,33,Support,137,119
468,32,Support,76,34
469,16,Operations,14,144
470,17,Support,77,73
471,21,Sales,45,51
472,1,HR,146,25
473,37,Support,20,20
474,45,Finance,89,17
475,30,Sales,96,28
476,29,IT,63,139
477,35,HR,138,123
